From	To
Q9BSA4	hsa:94015
O75420	hsa:64599
Q9BRS2	hsa:83732
O95391	hsa:10569
P40222	hsa:200081
Q9UNS2	hsa:8533
P35658	hsa:8021
P09651	hsa:3178
Q14204	hsa:1778
O75116	hsa:9475
Q9NZB2	hsa:23196
Q86V48	hsa:7798
P22234	hsa:10606
P50402	hsa:2010
P33552	hsa:1164
Q8WWM7	hsa:11273
O15357	hsa:3636
P43405	hsa:6850
Q6F5E8	hsa:146206
Q96BY7	hsa:55102
O43301	hsa:259217
Q9UL54	hsa:9344
P07900	hsa:3320
P98172	hsa:1947
P62136	hsa:5499
Q71RC2	hsa:113251
P48634	hsa:7916
Q8TEW0	hsa:56288
Q02952	hsa:9590
Q6ZV73	hsa:55785
Q15942	hsa:7791
O43491	hsa:2037
O60784	hsa:10043
Q8TD19	hsa:91754
Q00587	hsa:11135
P42771	hsa:1029
Q9BZI7	hsa:65109
Q9BVA0	hsa:10300
Q86YV5	hsa:157285
Q8WXE0	hsa:57513
Q6IAA8	hsa:55004
Q6NSI4	hsa:55086
Q49A88	hsa:64770
Q13546	hsa:8737
Q96QK1	hsa:55737
Q15369	hsa:6921
Q92783	hsa:8027
Q9UHI6	hsa:11218
Q7Z422	hsa:26099
Q02487	hsa:1824
O14976	hsa:2580
Q96PD2	hsa:131566
Q6PJT7	hsa:79882
O43303	hsa:9738
Q92692	hsa:5819
P21333	hsa:2316
Q63HQ0	hsa:55435
O00541	hsa:23481
Q9Y490	hsa:7094
Q9H9C1	hsa:63894
Q96EB1	hsa:26610
Q96P48	hsa:116985
Q99952	hsa:26469
Q99614	hsa:7265
Q14126	hsa:1829
O75815	hsa:8412
Q9HCD6	hsa:26115
Q8WVJ2	hsa:134492
Q9NUM4	hsa:54664
Q6ZN16	hsa:389840
Q15654	hsa:7205
Q969T9	hsa:23558
Q70EL1	hsa:159195
Q8TAF3	hsa:57599
Q8ND83	hsa:122060
Q92569	hsa:8503
Q4KMP7	hsa:26000
P42694	hsa:9931
Q13642	hsa:2273
O95208	hsa:22905
Q13490	hsa:329
A6NGB9	hsa:644150
Q92738	hsa:9712
Q15678	hsa:5784
Q99700	hsa:6311
Q9Y5T5	hsa:10600
Q6ZVM7	hsa:146691
Q8WZ64	hsa:116984
Q13442	hsa:11333
Q9Y6N7	hsa:6091
P36915	hsa:2794
Q13625	hsa:7159
P49023	hsa:5829
Q9Y281	hsa:1073
P49792	hsa:5903
Q8TED9	hsa:134265
Q9H2J4	hsa:79031
Q9UBP0	hsa:6683
Q86W92	hsa:8496
P42680	hsa:7006
Q8TA86	hsa:6100
P16885	hsa:5336
Q9UPU5	hsa:23358
Q05193	hsa:1759
Q9ULL5	hsa:57479
Q9NZ63	hsa:51759
P46013	hsa:4288
Q5XG87	hsa:11044
Q12968	hsa:4775
Q96IZ0	hsa:5074
P25398	hsa:6206
Q8IWC1	hsa:79649
Q8TEU7	hsa:51735
Q9UK45	hsa:51690
O75970	hsa:8777
Q6PKG0	hsa:23367
P46937	hsa:10413
Q6RW13	hsa:57085
P62993	hsa:2885
P34932	hsa:3308
P53801	hsa:754
Q05397	hsa:5747
Q9UM54	hsa:4646
O75832	hsa:5716
Q15262	hsa:5796
Q9Y2Z0	hsa:10910
P23528	hsa:1072
Q92974	hsa:9181
Q4KWH8	hsa:23007
Q16643	hsa:1627
P20810	hsa:831
Q9P2B4	hsa:55917
Q9HBL0	hsa:7145
Q5VVQ6	hsa:55432
Q9Y4P8	hsa:26100
Q9NWQ8	hsa:55824
Q13895	hsa:705
Q8TBA6	hsa:9950
Q9Y5S9	hsa:9939
O94991	hsa:26050
Q99871	hsa:55559
Q9ULC8	hsa:29801
Q5JXC2	hsa:60672
P29317	hsa:1969
Q9NP31	hsa:9047
Q12874	hsa:10946
Q9UM11	hsa:51343
Q9Y2X7	hsa:28964
Q9BVS4	hsa:55781
P08670	hsa:7431
Q93008	hsa:8239
Q8TAA9	hsa:81839
Q13263	hsa:10155
P41227	hsa:8260
P54756	hsa:2044
Q96EY5	hsa:93343
Q9NX55	hsa:25764
Q86UK7	hsa:90850
O95425	hsa:6840
Q9H939	hsa:9050
Q16832	hsa:4921
Q16630	hsa:11052
Q15375	hsa:2045
Q99755	hsa:8394
Q86YV9	hsa:79803
P53041	hsa:5536
O75794	hsa:8872
Q86SQ0	hsa:90102
Q15717	hsa:1994
Q9UQB8	hsa:10458
Q96D71	hsa:85021
Q5SW79	hsa:9859
Q15057	hsa:23527
Q9NP74	hsa:54873
Q02410	hsa:320
A1XBS5	hsa:137392
P06733	hsa:2023
P37198	hsa:23636
Q5JTD0	hsa:93643
Q13017	hsa:394
Q8IXW5	hsa:79871
P62241	hsa:6202
Q14790	hsa:841
O15042	hsa:23350
O95297	hsa:9019
Q13813	hsa:6709
O00401	hsa:8976
P61244	hsa:4149
P54105	hsa:1207
Q14185	hsa:1793
O14964	hsa:9146
P31943	hsa:3187
P18206	hsa:7414
Q96NE9	hsa:122786
O43390	hsa:10236
Q9NZJ9	hsa:11163
P55072	hsa:7415
Q8TER5	hsa:55701
Q9Y5X1	hsa:51429
P78324	hsa:140885
P17028	hsa:7572
P35611	hsa:118
P82970	hsa:79366
Q6P2Q9	hsa:10594
Q5T5P2	hsa:56243
P50991	hsa:10575
Q96C90	hsa:26472
O94804	hsa:6793
Q00013	hsa:4354
Q01804	hsa:54726
Q9P270	hsa:57606
P49815	hsa:7249
Q12965	hsa:4643
O75347	hsa:6902
Q6UUV9	hsa:23373
P09234	hsa:6631
P60709	hsa:60
Q15417	hsa:1266
P08133	hsa:309
Q9UHP3	hsa:29761
Q8IWX8	hsa:10523
Q8TDY4	hsa:55616
P50542	hsa:5830
P13639	hsa:1938
O75145	hsa:8541
P08865	hsa:3921
Q86XL3	hsa:23141
Q9H814	hsa:51808
Q9NQ84	hsa:55890
Q9Y5K8	hsa:51382
O60739	hsa:10289
P22626	hsa:3181
Q8WUA2	hsa:85313
Q92560	hsa:8314
A7KAX9	hsa:9743
Q96DR7	hsa:26084
O95429	hsa:9530
Q14320	hsa:9130
Q8IY95	hsa:201931
P51991	hsa:220988
O15226	hsa:55922
Q8WYP5	hsa:25909
P50395	hsa:2665
Q9H4A3	hsa:65125
Q96KG7	hsa:84466
O60641	hsa:9892
Q96GP6	hsa:91179
P46939	hsa:7402
Q96RT1	hsa:55914
Q13123	hsa:3550
P45984	hsa:5601
Q9NWZ8	hsa:54960
Q9C0H5	hsa:80728
Q08211	hsa:1660
Q9BY89	hsa:85379
Q99615	hsa:7266
Q7Z5L2	hsa:27291
O76039	hsa:6792
O95235	hsa:10112
Q96J84	hsa:55243
P39023	hsa:6122
Q96AE4	hsa:8880
O00221	hsa:4794
Q9NYV4	hsa:51755
Q9BVX2	hsa:79022
P07437	hsa:203068
Q9H992	hsa:64844
P27986	hsa:5295
Q99439	hsa:1265
P62917	hsa:6132
P53778	hsa:6300
O43150	hsa:8853
P52799	hsa:1948
P78524	hsa:6764
P23193	hsa:6917
P35637	hsa:2521
O14974	hsa:4659
P08621	hsa:6625
P43243	hsa:9782
Q00535	hsa:1020
O14544	hsa:9306
P86790	hsa:221960
P86790	hsa:51622
P86791	hsa:221960
P86791	hsa:51622
Q12906	hsa:3609
Q8TEQ6	hsa:25929
Q92620	hsa:9785
O60664	hsa:10226
P42677	hsa:6232
Q9H706	hsa:64762
Q08357	hsa:6575
Q9BUJ2	hsa:11100
Q9NP61	hsa:26286
Q9BYM8	hsa:10616
Q9H3P7	hsa:64746
Q8TCZ2	hsa:83692
Q9Y285	hsa:2193
Q92841	hsa:10521
P53396	hsa:47
Q8IVL1	hsa:89797
Q15058	hsa:9928
Q15459	hsa:10291
Q0VF96	hsa:84952
Q9UGP4	hsa:8994
Q00341	hsa:3069
O60291	hsa:23295
P07948	hsa:4067
P78559	hsa:4130
Q15427	hsa:10262
Q9UKK9	hsa:11164
P36954	hsa:5438
Q86Z02	hsa:204851
Q7KZF4	hsa:27044
P31689	hsa:3301
P04075	hsa:226
Q8NBF2	hsa:374354
Q00839	hsa:3192
P68104	hsa:1915
Q13573	hsa:22938
Q6IBS0	hsa:11344
Q9HC35	hsa:27436
P29401	hsa:7086
Q8TAA3	hsa:143471
Q9UBC2	hsa:58513
Q7Z4W1	hsa:51181
P63244	hsa:10399
P29597	hsa:7297
B5ME19	hsa:728689
Q674X7	hsa:23254
Q13523	hsa:8899
P18433	hsa:5786
P07195	hsa:3945
Q8TEW8	hsa:117583
Q14498	hsa:9584
P68431	hsa:8350
P68431	hsa:8351
P68431	hsa:8352
P68431	hsa:8353
P68431	hsa:8354
P68431	hsa:8355
P68431	hsa:8356
P68431	hsa:8357
P68431	hsa:8358
P68431	hsa:8968
P31153	hsa:4144
Q9H2U1	hsa:170506
Q13242	hsa:8683
P62805	hsa:121504
P62805	hsa:554313
P62805	hsa:8294
P62805	hsa:8359
P62805	hsa:8360
P62805	hsa:8361
P62805	hsa:8362
P62805	hsa:8363
P62805	hsa:8364
P62805	hsa:8365
P62805	hsa:8366
P62805	hsa:8367
P62805	hsa:8368
P62805	hsa:8370
P00338	hsa:3939
P49840	hsa:2931
P22681	hsa:867
